cid,city
BRXX0001,Adamantina
BRXX0002,Alagoinhas
BRXX0003,Alegrete
BRXX0005,Altamira
BRXX0006,Americana
BRXX0007,Anapolis
BRXX0008,Anastacio
BRXX0009,Andradina
BRXX0010,Apucarana
BRXX0011,Aracaju
BRXX0012,Aracati
BRXX0013,Aracatuba
BRXX0014,Aracruz
BRXX0015,Arapiraca
BRXX0016,Arapongas
BRXX0017,Araucaria
BRXX0018,Araxa
BRXX0019,Aripuana
BRXX0020,Auriflama
BRXX0021,Avare
BRXX0022,Bage
BRXX0023,Balsamo
BRXX0024,Balsas
BRXX0025,Bandeirantes
BRXX0026,Barbacena
BRXX0027,Barcelos
BRXX0028,Barra do Garcas
BRXX0029,Barra Mansa
BRXX0030,Barreiras
BRXX0031,Bauru
BRXX0032,Belem
BRXX0033,Belo Horizonte
BRXX0034,Bento Goncalves
BRXX0035,Biguacu
BRXX0036,Birigui
BRXX0037,Blumenau
BRXX0038,Boa Vista
BRXX0039,Bom Despacho
BRXX0040,Bom Jesus da Lapa
BRXX0041,Botucatu
BRXX0042,Braganca Paulista
BRXX0043,Brasilia
BRXX0044,Brusque
BRXX0045,Cabo Frio
BRXX0046,Caceres
BRXX0048,Cachoeiro de Itapemirim
BRXX0049,Campina Grande
BRXX0050,Campinas
BRXX0051,Campo Grande
BRXX0052,Campo Largo
BRXX0053,Campo Mourao
BRXX0054,Campos
BRXX0055,Campos do Jordao
BRXX0056,Canoas
BRXX0057,Canoinhas
BRXX0058,Canto do Buriti
BRXX0059,Caraguatatuba
BRXX0060,Carapina
BRXX0061,Caratinga
BRXX0062,Caravelas
BRXX0063,Cascavel
BRXX0064,Castro
BRXX0065,Catalao
BRXX0066,Catanduva
BRXX0067,Caxias
BRXX0068,Caxias do Sul
BRXX0069,Chapeco
BRXX0070,Colatina
BRXX0071,Colombo
BRXX0072,Conselheiro Lafaiete
BRXX0073,Cornelio Procopio
BRXX0074,Corumba
BRXX0075,Coxim
BRXX0076,Criciuma
BRXX0077,Cruzeta
BRXX0078,Cuiaba
BRXX0079,Curitiba
BRXX0080,Curitibanos
BRXX0081,Curvelo
BRXX0082,Diadema
BRXX0083,Diamantina
BRXX0084,Divinopolis
BRXX0085,Dourados
BRXX0086,Dracena
BRXX0087,Duque de Caxias
BRXX0088,Farroupilha
BRXX0089,Feira de Santana
BRXX0090,Fernandopolis
BRXX0091,Florianopolis
BRXX0092,Formosa
BRXX0093,Fortaleza
BRXX0094,Foz do Iguacu
BRXX0095,Franca
BRXX0096,Garanhuns
BRXX0097,Garopaba
BRXX0098,Gaspar
BRXX0099,Goiania
BRXX0100,Governador Valadares
BRXX0101,Gramado
BRXX0102,Guaiba
BRXX0103,Guarapari
BRXX0104,Guarapuava
BRXX0105,Guararapes
BRXX0106,Guaratuba
BRXX0107,Guarulhos
BRXX0108,Hidrolandia
BRXX0109,Iguape
BRXX0110,Indaial
BRXX0111,Inhumas
BRXX0112,Ipatinga
BRXX0113,Irati
BRXX0114,Itaberaba
BRXX0115,Itajai
BRXX0116,Itaperuna
BRXX0117,Itapeva
BRXX0118,Itaquari
BRXX0119,Itaqui
BRXX0120,Itauna
BRXX0121,Itu
BRXX0122,Ituiutaba
BRXX0123,Jacareacanga
BRXX0124,Jaciara
BRXX0125,Janauba
